,code_agb,groupe_aliment,sous_groupe_aliment,nom_produit,lci_name,code_saison,code_avion,kg_CO2_eq,Pt_utilisation_sol_eq,m3_consommation_eau_eq,mol_acidification_kg_eq,groupe_aliment_color
18,11026,aides culinaires et ingrédients divers,épices,"Coriandre, graine","Coriander, seed",2,0,1.1,15.8,1.21,0.00896,#D35400
19,11172,aides culinaires et ingrédients divers,aides culinaires,"Court-bouillon pour poissons, déshydraté","Aromatic stock cube, for fish, dehydrated",2,0,9.39,112.0,9.18,0.0699,#D35400
20,39700,aides culinaires et ingrédients divers,sauces,"Crème anglaise, préemballée","Light custard cream with vanilla, prepacked",2,0,1.74,76.2,1.22,0.0215,#D35400
21,11042,aides culinaires et ingrédients divers,épices,"Cumin, graine","Cumin, seed",2,0,8.15,697.0,18.4,0.0888,#D35400
22,11089,aides culinaires et ingrédients divers,épices,"Curcuma, poudre","Turmeric, powder",2,0,8.15,697.0,18.4,0.0888,#D35400
23,11005,aides culinaires et ingrédients divers,épices,"Curry, poudre","Curry, powder",2,0,8.15,697.0,18.4,0.0888,#D35400
24,20988,aides culinaires et ingrédients divers,algues,"Dulse (Palmaria palmata), séchée ou déshydratée","Dulse (Palmaria palmata), dried or dehydrated",2,0,6.56,24.2,3.08,0.0942,#D35400
25,11092,aides culinaires et ingrédients divers,herbes,"Estragon, frais","Tarragon, fresh",2,0,0.69,31.9,4.65,0.00712,#D35400
26,11066,aides culinaires et ingrédients divers,épices,"Fenouil, graine","Fennel, seed",2,0,1.1,15.8,1.21,0.00896,#D35400
27,11077,aides culinaires et ingrédients divers,épices,"Fenugrec, graine","Fenugreek, seed",2,0,8.15,697.0,18.4,0.0888,#D35400
28,11082,aides culinaires et ingrédients divers,sels,"Fleur de sel, non iodée, non fluorée","Pure sea salt, no enrichment",2,0,0.604,3.76,0.411,0.00317,#D35400
29,20994,aides culinaires et ingrédients divers,algues,"Fucus vésiculeux (Fucus serratus ou Fucus vesiculosus), séché ou déshydraté","Toothed wrack or bladder wrack (Fucus serratus et vesiculosus), dried or dehydrated",2,0,6.56,24.2,3.08,0.0942,#D35400
30,11007,aides culinaires et ingrédients divers,ingrédients divers,"Gélatine, sèche","Gelatine, dried",2,0,1.74,89.2,1.22,0.0322,#D35400
31,11006,aides culinaires et ingrédients divers,épices,"Gingembre, poudre","Ginger, powder",2,0,0.981,18.0,1.55,0.0128,#D35400
32,11074,aides culinaires et ingrédients divers,épices,"Gingembre, racine crue","Ginger, raw",2,0,0.453,12.5,1.44,0.0081,#D35400
33,20993,aides culinaires et ingrédients divers,algues,"Gracilaire ou ogonori (Gracilaria verrucosa), séchée ou déshydratée","Gracilaria seaweeds (Gracilaria verrucosa), dried or dehydrated",2,0,6.75,24.7,3.08,0.0997,#D35400
34,25620,aides culinaires et ingrédients divers,sauces,"Guacamole, préemballé","Guacamole, prepacked",2,0,1.47,77.4,17.5,0.0109,#D35400
35,20992,aides culinaires et ingrédients divers,algues,"Haricot de mer (Himanthalia elongata), séchée ou déshydratée","Sea thong (Himanthalia elongata), dried or dehydrated",2,0,6.56,24.2,3.08,0.0942,#D35400
36,11112,aides culinaires et ingrédients divers,sauces,Harissa (sauce condimentaire),"Harissa (hot spicy sauce), prepacked",2,0,1.42,186.0,7.56,0.0179,#D35400
37,11060,aides culinaires et ingrédients divers,herbes,"Herbes de Provence, séchées","Provence herbs, dried",2,0,1.56,139.0,20.1,0.031,#D35400
38,25621,aides culinaires et ingrédients divers,sauces,Houmous,Hummus,2,0,0.951,124.0,1.73,0.0109,#D35400
39,11008,aides culinaires et ingrédients divers,sauces,Ketchup,Ketchup,2,0,0.945,19.4,2.33,0.00768,#D35400
40,20991,aides culinaires et ingrédients divers,algues,"Kombu breton (Laminaria digitata), séchée ou déshydratée","Tangle (Laminaria digitata), dried or dehydrated",2,0,6.56,24.2,3.08,0.0942,#D35400
41,20990,aides culinaires et ingrédients divers,algues,"Kombu ou kombu japonais (Laminaria japonica), séchée ou déshydratée","Kombu or Japanese kelp (Laminaria japonica), dried or dehydrated",2,0,6.75,24.7,3.08,0.0997,#D35400
42,20986,aides culinaires et ingrédients divers,algues,"Kombu royal (Saccharina latissima), séchée ou déshydratée","Sea belt (Saccharina latissima), dried or dehydrated",2,0,6.75,24.7,3.08,0.0997,#D35400
43,20985,aides culinaires et ingrédients divers,algues,"Laitue de mer (Ulva sp.), séchée ou déshydratée","Sea lettuce (ulva sp.), dried or dehydrated)",2,0,6.56,24.2,3.08,0.0942,#D35400
44,11053,aides culinaires et ingrédients divers,épices,"Laurier, feuille","Bay, leaves",2,0,0.846,33.3,4.13,0.0103,#D35400
45,42200,aides culinaires et ingrédients divers,ingrédients divers,Lécithine de soja,Soy lecithin,2,0,6.8,287.0,0.296,0.0183,#D35400
46,11009,aides culinaires et ingrédients divers,ingrédients divers,Levure alimentaire,Nutritional yeast,2,0,5.61,241.0,0.388,0.0123,#D35400
47,11046,aides culinaires et ingrédients divers,ingrédients divers,Levure chimique ou Poudre à lever,Baking powder or raising agent,2,0,5.61,241.0,0.388,0.0123,#D35400
48,11010,aides culinaires et ingrédients divers,ingrédients divers,"Levure de boulanger, compressée","Baker's yeast, compressed",2,0,5.71,244.0,0.418,0.0128,#D35400
49,11045,aides culinaires et ingrédients divers,ingrédients divers,"Levure de boulanger, déshydratée","Baker's yeast, dehydrated",2,0,5.61,241.0,0.388,0.0123,#D35400
50,20996,aides culinaires et ingrédients divers,algues,"Lichen de mer ou pioca ou goémon rouge (Chondrus crispus), séché ou déshydraté","Carragheen mosses (Chondrus crispus), dried or dehydrated",2,0,6.56,24.2,3.08,0.0942,#D35400
51,11034,aides culinaires et ingrédients divers,herbes,"Marjolaine, séchée","Marjoram, dried",2,0,1.55,138.0,19.9,0.0307,#D35400
52,11054,aides culinaires et ingrédients divers,sauces,Mayonnaise (70% MG min.),Mayonnaise (70% fat and more),2,0,2.53,368.0,5.1,0.0416,#D35400
53,11079,aides culinaires et ingrédients divers,sauces,Mayonnaise à teneur réduite en matière grasse ou Mayonnaise allégée,"Mayonnaise, reduced fat or light mayonnaise",2,0,2.53,368.0,5.1,0.0416,#D35400
54,51500,aides culinaires et ingrédients divers,herbes,"Meloukhia, feuilles de corète séchées, en poudre",Molokhia powder (dried jute leaves),2,0,1.48,7.32,8.75,0.0142,#D35400
55,11027,aides culinaires et ingrédients divers,herbes,"Menthe, fraîche","Mint, fresh",2,0,0.69,31.9,4.65,0.00712,#D35400
56,20916,aides culinaires et ingrédients divers,ingrédients divers,Miso,Miso,2,0,1.05,73.4,15.0,0.00836,#D35400
57,11013,aides culinaires et ingrédients divers,condiments,Moutarde,Mustard,2,0,1.82,251.0,3.98,0.0222,#D35400
58,11021,aides culinaires et ingrédients divers,condiments,Moutarde à l'ancienne,"Mustard, with grains",2,0,2.05,223.0,1.43,0.0207,#D35400
59,11048,aides culinaires et ingrédients divers,épices,Noix de muscade,Nutmeg,2,0,1.19,15.9,1.21,0.0121,#D35400
60,20987,aides culinaires et ingrédients divers,algues,"Nori (Porphyra sp.), séchée ou déshydratée","Laver (Porphyra sp.), dried or dehydrated",2,0,6.75,24.7,3.08,0.0997,#D35400
61,13147,aides culinaires et ingrédients divers,condiments,"Olives vertes, fourrées ou farcies (anchois, poivrons, etc.)","Olive, green, stuffed (anchovy, sweet peppers, etc…)",2,0,0.892,53.5,2.0,0.0095,#D35400
62,11035,aides culinaires et ingrédients divers,herbes,"Origan, séché","Oregano, dried",2,0,1.55,138.0,19.9,0.0307,#D35400
63,11049,aides culinaires et ingrédients divers,épices,Paprika,Paprika,2,0,8.15,697.0,18.4,0.0888,#D35400
64,11061,aides culinaires et ingrédients divers,épices,"Pavot, graine","Poppy, seed",2,0,1.83,289.0,5.08,0.0564,#D35400
65,11014,aides culinaires et ingrédients divers,herbes,"Persil, frais","Parsley, fresh",2,0,1.08,131.0,1.98,0.0149,#D35400
66,11024,aides culinaires et ingrédients divers,herbes,"Persil, séché","Parsley, dried",2,0,3.34,587.0,7.85,0.0659,#D35400
67,25525,aides culinaires et ingrédients divers,aides culinaires,"Pizza, sauce garniture pour",Topping sauce for pizza,2,0,0.718,63.8,3.86,0.008,#D35400
68,11019,aides culinaires et ingrédients divers,épices,"Poivre blanc, poudre","White pepper, powder",2,0,8.15,697.0,18.4,0.0888,#D35400
69,11088,aides culinaires et ingrédients divers,épices,Poivre de Cayenne ou piment de Cayenne,Cayenne pepper,2,0,8.15,697.0,18.4,0.0888,#D35400
70,11015,aides culinaires et ingrédients divers,épices,"Poivre noir, poudre","Black pepper, powder",2,0,8.15,697.0,18.4,0.0888,#D35400
71,11214,aides culinaires et ingrédients divers,aides culinaires,"Préparation culinaire à base de soja, type ""crème de soja""","Soy ""cream"" preparation",2,0,1.06,123.0,0.521,0.0069,#D35400
72,11056,aides culinaires et ingrédients divers,épices,Quatre épices,Mix of 4 spices,2,0,5.24,418.0,11.4,0.0575,#D35400
73,11016,aides culinaires et ingrédients divers,herbes,"Raifort, cru","Horseradish, fresh",2,0,0.675,11.1,2.29,0.00291,#D35400
74,11068,aides culinaires et ingrédients divers,herbes,"Romarin, frais","Rosemary, fresh",2,0,0.813,36.3,5.29,0.00811,#D35400
75,11036,aides culinaires et ingrédients divers,herbes,"Romarin, séché","Rosemary, dried",2,0,1.55,138.0,19.9,0.0307,#D35400
76,11039,aides culinaires et ingrédients divers,épices,Safran,Saffron,2,0,8.15,697.0,18.4,0.0888,#D35400
77,11062,aides culinaires et ingrédients divers,herbes,"Sarriette, séchée","Savory, dried",2,0,1.55,138.0,19.9,0.0307,#D35400
78,11159,aides culinaires et ingrédients divers,sauces,Sauce à la crème,Cream sauce,2,0,2.15,91.0,0.624,0.0199,#D35400
79,11161,aides culinaires et ingrédients divers,sauces,Sauce à la crème aux épices,Cream sauce with spices,2,0,1.96,88.7,0.696,0.0183,#D35400
80,11162,aides culinaires et ingrédients divers,sauces,Sauce à la crème aux herbes,Cream sauce with herbs,2,0,1.96,88.7,0.696,0.0183,#D35400
81,11122,aides culinaires et ingrédients divers,sauces,"Sauce à l'échalote à la crème, préemballée","Cream sauce with shallots, prepacked",2,0,1.94,81.0,1.1,0.0176,#D35400
82,11163,aides culinaires et ingrédients divers,sauces,"Sauce aigre douce, préemballée","Sweet and sour sauce, prepacked",2,0,1.02,52.5,2.05,0.00896,#D35400
83,11168,aides culinaires et ingrédients divers,sauces,"Sauce aïoli, préemballée","Aioli sauce (garlic and olive oil mayonnaise), prepacked",2,0,1.41,547.0,18.7,0.0445,#D35400
84,11167,aides culinaires et ingrédients divers,sauces,"Sauce américaine, préemballée","American-style sauce, prepacked",2,0,3.54,154.0,1.43,0.0386,#D35400
85,11111,aides culinaires et ingrédients divers,sauces,"Sauce armoricaine, préemballée","Armorican-style sauce, prepacked",2,0,3.55,154.0,1.43,0.0386,#D35400
86,11140,aides culinaires et ingrédients divers,sauces,"Sauce au beurre blanc, préemballée","White butter sauce, prepacked",2,0,4.33,254.0,1.92,0.0448,#D35400
87,11158,aides culinaires et ingrédients divers,sauces,"Sauce au beurre, préemballée","Sauce, butter, prepacked",2,0,4.33,254.0,1.92,0.0448,#D35400
88,11300,aides culinaires et ingrédients divers,sauces,Sauce au chocolat,Chocolate sauce,2,0,6.19,234.0,0.9,0.0154,#D35400
89,11132,aides culinaires et ingrédients divers,sauces,"Sauce au curry, préemballée","Curry sauce, prepacked",2,0,0.797,20.6,1.06,0.00525,#D35400
90,11189,aides culinaires et ingrédients divers,sauces,"Sauce au fromage pour risotto ou pâtes, préemballée","Cheese sauce for risotto or pasta, prepacked",2,0,3.87,191.0,1.41,0.0387,#D35400
91,11115,aides culinaires et ingrédients divers,sauces,"Sauce au poivre vert, préemballée","Green pepper sauce, prepacked",2,0,1.11,32.8,0.444,0.00813,#D35400
92,11182,aides culinaires et ingrédients divers,sauces,"Sauce au poivre, chaude, préemballée","Sauce, pepper, prepacked",2,0,1.64,60.6,0.569,0.0135,#D35400
93,11212,aides culinaires et ingrédients divers,sauces,"Sauce au poivre, condimentaire, froide, préemballée","Sauce, pepper, prepacked",2,0,1.63,60.5,0.564,0.0135,#D35400
94,11191,aides culinaires et ingrédients divers,sauces,"Sauce au roquefort, préemballée","Roquefort (blue cheese) sauce, prepacked",2,0,4.33,254.0,1.92,0.0448,#D35400
95,11164,aides culinaires et ingrédients divers,sauces,Sauce au vin rouge,Red wine sauce,2,0,1.75,106.0,1.13,0.0168,#D35400
96,11166,aides culinaires et ingrédients divers,sauces,Sauce au yaourt,Yogurt sauce,2,0,1.46,114.0,1.46,0.0129,#D35400
97,11192,aides culinaires et ingrédients divers,sauces,"Sauce aux champignons et à la crème, préemballée","Cream sauce with mushrooms, prepacked",2,0,4.09,115.0,21.6,0.0244,#D35400
98,11160,aides culinaires et ingrédients divers,sauces,"Sauce aux champignons, préemballée","Mushroom sauce, prepacked",2,0,3.82,62.9,27.6,0.0161,#D35400
99,11100,aides culinaires et ingrédients divers,sauces,"Sauce barbecue, préemballée","Barbecue sauce, prepacked",2,0,1.26,85.8,3.32,0.0141,#D35400
100,11170,aides culinaires et ingrédients divers,sauces,"Sauce basquaise ou Sauce aux poivrons, préemballée","Basque-style sauce or tomato sauce with sweet peppers, prepacked",2,0,1.08,104.0,5.26,0.0118,#D35400
101,11102,aides culinaires et ingrédients divers,sauces,"Sauce béarnaise, préemballée","Bearnaise sauce, prepacked",2,0,5.01,291.0,2.61,0.0577,#D35400
102,11143,aides culinaires et ingrédients divers,sauces,"Sauce béchamel, maison","Bechamel sauce, home-made",2,0,2.04,93.4,0.788,0.0193,#D35400
103,11101,aides culinaires et ingrédients divers,sauces,"Sauce béchamel, préemballée","Bechamel sauce, prepacked",2,0,2.04,93.4,0.788,0.0193,#D35400
104,11120,aides culinaires et ingrédients divers,sauces,"Sauce bourguignonne, préemballée","Burgundy-style sauce, prepacked",2,0,2.78,140.0,5.88,0.0219,#D35400
105,11196,aides culinaires et ingrédients divers,sauces,"Sauce burger, préemballée","Burger sauce, prepacked",2,0,2.53,368.0,5.1,0.0416,#D35400
106,11128,aides culinaires et ingrédients divers,sauces,"Sauce carbonara, préemballée","Carbonara sauce (cream sauce with lardoons), prepacked",2,0,4.85,247.0,2.78,0.0742,#D35400
107,11129,aides culinaires et ingrédients divers,sauces,"Sauce chasseur, préemballée","Hunter-style sauce (a garnish of mushrooms, shallots and tomatoes in white wine sauce), prepacked",2,0,2.21,83.4,8.54,0.0147,#D35400
108,11198,aides culinaires et ingrédients divers,sauces,"Sauce crudités ou Sauce salade, allégée en matière grasse, préemballée","Salad dressing, reduced fat, prepacked",2,0,2.53,368.0,5.1,0.0416,#D35400
109,11187,aides culinaires et ingrédients divers,sauces,"Sauce crudités ou Sauce salade, préemballée","Salad dressing, prepacked",2,0,2.53,368.0,5.1,0.0416,#D35400
110,11199,aides culinaires et ingrédients divers,sauces,"Sauce grand veneur, préemballée","Grand veneur sauce (a reduction of red wine with garlic, shallots and red currant jelly), prepacked",2,0,2.79,140.0,5.88,0.022,#D35400
111,11105,aides culinaires et ingrédients divers,sauces,"Sauce hollandaise, préemballée","Hollandaise sauce, prepacked",2,0,6.08,342.0,2.66,0.0727,#D35400
112,11202,aides culinaires et ingrédients divers,sauces,"Sauce indienne type tandoori ou tikka masala, préemballée","Indian-style sauce, tandoori or garam masala type, prepacked",2,0,1.27,68.1,2.27,0.0114,#D35400
113,11203,aides culinaires et ingrédients divers,sauces,"Sauce kebab, préemballée","Kebab sauce, prepacked",2,0,1.83,112.0,1.7,0.0185,#D35400
114,11121,aides culinaires et ingrédients divers,sauces,"Sauce madère, préemballée","Madeira wine sauce, prepacked",2,0,4.92,334.0,1.62,0.0637,#D35400
115,11157,aides culinaires et ingrédients divers,sauces,"Sauce moutarde, préemballée",Mustard sauce prepacked,2,0,1.94,100.0,1.33,0.0181,#D35400
116,11194,aides culinaires et ingrédients divers,sauces,"Sauce Nuoc Mâm ou Sauce au poisson, préemballée","Nuoc mam sauce or fish sauce, prepacked",2,0,0.937,34.7,0.743,0.00769,#D35400
117,11210,aides culinaires et ingrédients divers,sauces,"Sauce pesto rosso, préemballée","Sauce, pesto rosso, prepacked",2,0,2.56,324.0,9.72,0.0385,#D35400
118,11179,aides culinaires et ingrédients divers,sauces,"Sauce pesto, préemballée","Sauce, pesto, prepacked",2,0,2.56,324.0,9.72,0.0385,#D35400
119,11205,aides culinaires et ingrédients divers,sauces,"Sauce rouille, préemballée","Mayonnaise flavoured with garlic, chilli pepper and fish broth, prepacked",2,0,2.2,334.0,4.64,0.0374,#D35400
120,11104,aides culinaires et ingrédients divers,sauces,"Sauce soja, préemballée","Soy sauce, prepacked",2,0,0.753,31.1,0.386,0.00423,#D35400
121,11051,aides culinaires et ingrédients divers,sauces,"Sauce tartare, préemballée","Tartare sauce, prepacked",2,0,1.63,60.5,0.564,0.0135,#D35400
122,11114,aides culinaires et ingrédients divers,sauces,"Sauce tomate à la viande ou Sauce bolognaise, préemballée","Tomato sauce, with meat or Bolognese sauce, prepacked",2,0,11.9,835.0,4.65,0.163,#D35400
123,11208,aides culinaires et ingrédients divers,sauces,"Sauce tomate au fromage, préemballée","Tomato sauce, w cheese, prepacked",2,0,1.23,77.7,3.98,0.0121,#D35400
124,11177,aides culinaires et ingrédients divers,sauces,"Sauce tomate aux champignons, préemballée","Tomato sauce, w mushrooms, prepacked",2,0,1.21,60.2,6.96,0.00945,#D35400
125,11107,aides culinaires et ingrédients divers,sauces,"Sauce tomate aux oignons, préemballée","Tomato sauce, with onions, prepacked",2,0,0.906,59.8,4.04,0.00858,#D35400
126,11178,aides culinaires et ingrédients divers,sauces,"Sauce tomate aux olives, préemballée","Tomato sauce, w olives, prepacked",2,0,0.899,65.3,4.13,0.00881,#D35400
127,11207,aides culinaires et ingrédients divers,sauces,"Sauce tomate aux petits légumes, préemballée","Tomato sauce, w vegetables, prepacked",2,0,0.935,99.5,5.26,0.011,#D35400
128,11219,aides culinaires et ingrédients divers,sauces,"Sauce végétale type bolognaise, préemballée",Vegetable Bolognese sauce,2,0,1.35,66.0,2.57,0.0123,#D35400
129,11110,aides culinaires et ingrédients divers,sauces,"Sauce vinaigrette (50 à 75% d'huile), préemballée","Salad dressing, (50-75% of oil), prepacked",2,0,2.26,334.0,4.3,0.0311,#D35400
130,11069,aides culinaires et ingrédients divers,herbes,"Sauge, fraîche","Sage, fresh",2,0,0.813,36.3,5.29,0.00811,#D35400
131,11037,aides culinaires et ingrédients divers,herbes,"Sauge, séchée","Sage, dried",2,0,1.55,138.0,19.9,0.0307,#D35400
132,11044,aides culinaires et ingrédients divers,sels,Sel au céleri,Celery salt,2,0,0.604,3.76,0.411,0.00317,#D35400
133,11058,aides culinaires et ingrédients divers,sels,"Sel blanc alimentaire, iodé, non fluoré (marin, ignigène ou gemme)","Salt, white, for human consumption (sea, igneous or rock), iodine added, no other enrichment",2,0,0.604,3.76,0.411,0.00317,#D35400
134,11017,aides culinaires et ingrédients divers,sels,"Sel blanc alimentaire, non iodé, non fluoré (marin, ignigène ou gemme)","Salt, white, for human consumption (sea, igneous or rock), no enrichment",2,0,0.604,3.76,0.411,0.00317,#D35400
135,11083,aides culinaires et ingrédients divers,sels,"Sel marin gris, non iodé, non fluoré","Sea salt, grey, no enrichment",2,0,0.604,3.76,0.411,0.00317,#D35400
136,31089,aides culinaires et ingrédients divers,ingrédients divers,Sirop d'agave,"Syrup, agave",2,0,4.67,157.0,0.394,0.0431,#D35400
137,31034,aides culinaires et ingrédients divers,ingrédients divers,Sirop d'érable,"Syrup, maple",2,0,2.01,77.2,2.24,0.0142,#D35400
138,20919,aides culinaires et ingrédients divers,ingrédients divers,Sirop léger pour fruits appertisés au sirop,Light syrup for canned fruits in syrup,2,0,0.729,10.6,0.443,0.0072,#D35400
139,20918,aides culinaires et ingrédients divers,ingrédients divers,Sirop pour fruits appertisés au sirop,Syrup for canned fruits in syrup,2,0,0.729,10.6,0.443,0.0072,#D35400
140,9640,aides culinaires et ingrédients divers,ingrédients divers,Son d'avoine,Oat bran,2,0,0.651,94.0,0.366,0.00751,#D35400
141,9621,aides culinaires et ingrédients divers,ingrédients divers,Son de blé,Wheat bran,2,0,0.329,31.2,0.132,0.00358,#D35400
142,9641,aides culinaires et ingrédients divers,ingrédients divers,Son de maïs,Maize/corn bran,2,0,0.48,30.4,1.46,0.0052,#D35400
143,9643,aides culinaires et ingrédients divers,ingrédients divers,Son de riz,Rice bran,2,0,1.44,36.6,39.1,0.0149,#D35400
144,11086,aides culinaires et ingrédients divers,algues,"Spiruline (Spirulina sp.), séchée ou déshydratée","Spirulina, (spirulina sp.), dried",2,0,6.75,24.7,3.08,0.0997,#D35400
145,42000,aides culinaires et ingrédients divers,denrées destinées à une alimentation particulière,"Substitut de repas hypocalorique, crème dessert","Meal replacement low calorie, Custard cream dessert-type",2,0,2.31,155.0,0.392,0.0193,#D35400
146,42004,aides culinaires et ingrédients divers,denrées destinées à une alimentation particulière,"Substitut de repas hypocalorique, poudre reconstituée avec lait écrémé","Meal replacement low calorie, in powder, reconstituted with skimmed milk",2,0,2.31,155.0,0.392,0.0193,#D35400
147,42005,aides culinaires et ingrédients divers,denrées destinées à une alimentation particulière,"Substitut de repas hypocalorique, poudre reconstituée avec lait écrémé, type milk-shake","Meal replacement low calorie, in powder, reconstituted with skimmed milk, milkshake type",2,0,2.31,155.0,0.392,0.0193,#D35400
148,42003,aides culinaires et ingrédients divers,denrées destinées à une alimentation particulière,"Substitut de repas hypocalorique, prêt à boire","Meal replacement low calorie, ready-to-drink",2,0,2.31,155.0,0.392,0.0193,#D35400
149,11043,aides culinaires et ingrédients divers,condiments,Tapenade,"Tapenade (a puree of capers, pitted black olives, anchovy and herbs, with olive oil and lemon juice",2,0,1.33,228.0,7.66,0.0229,#D35400
150,20917,aides culinaires et ingrédients divers,ingrédients divers,Tempeh,Tempeh,2,0,1.31,89.4,0.877,0.0067,#D35400
151,11070,aides culinaires et ingrédients divers,herbes,"Thym, frais","Thyme, fresh",2,0,0.813,36.3,5.29,0.00811,#D35400
152,11038,aides culinaires et ingrédients divers,herbes,"Thym, séché","Thyme, dried",2,0,1.55,138.0,19.9,0.0307,#D35400
153,11065,aides culinaires et ingrédients divers,épices,"Vanille, extrait alcoolique","Vanilla, alcoholic extract",2,0,1.15,12.3,0.235,0.00411,#D35400
154,11098,aides culinaires et ingrédients divers,épices,"Vanille, extrait aqueux","Vanilla, aqueous extract",2,0,1.15,12.3,0.235,0.00411,#D35400
155,11018,aides culinaires et ingrédients divers,condiments,Vinaigre,Vinegar,2,0,1.18,101.0,0.272,0.00971,#D35400
156,11091,aides culinaires et ingrédients divers,condiments,Vinaigre balsamique,"Vinegar, balsamic",2,0,1.18,101.0,0.272,0.00971,#D35400
157,11090,aides culinaires et ingrédients divers,condiments,Vinaigre de cidre,"Vinegar, cider",2,0,0.919,23.8,3.84,0.00693,#D35400
158,20984,aides culinaires et ingrédients divers,algues,"Wakamé (Undaria pinnatifida), séchée ou déshydratée","Wakame (Undaria pinnatifida), dried or dehydrated",2,0,6.75,24.7,3.08,0.0997,#D35400
159,20999,aides culinaires et ingrédients divers,algues,"Wakamé atlantique (Alaria esculenta), séchée ou déshydratée","Atlantic wakame (Alaria esculenta), dried or dehydrated",2,0,6.56,24.2,3.08,0.0942,#D35400
160,24689,aliments infantiles,céréales et biscuits infantiles,Biscuit pour bébé,Biscuit for baby,2,0,1.83,118.0,2.74,0.0426,#BB8FCE
161,13159,aliments infantiles,laits et boissons infantiles,Boisson aux fruits pour bébé dès 4/6mois,Fruit-based beverage for baby from 4/6 months,2,0,0.794,30.8,11.7,0.00753,#BB8FCE
162,13162,aliments infantiles,laits et boissons infantiles,Boisson infantile céréales lactées aux fruits pour le goûter dès 4/6 mois,Dairy cereal-based beverage with fruits for baby's snack from 4/6 months,2,0,1.6,79.4,1.5,0.0156,#BB8FCE
163,13161,aliments infantiles,laits et boissons infantiles,Boisson infantile céréales lactées aux légumes pour dîner dès 4/6 mois,Dairy cereal-based beverage with vegetables for baby's dinner from 4/6 months,2,0,1.61,79.5,1.51,0.0157,#BB8FCE
164,13173,aliments infantiles,laits et boissons infantiles,Boisson infantile céréales lactées pour le petit déjeuner,Dairy cereal-based beverage for baby's breakfast,2,0,1.61,79.5,1.51,0.0157,#BB8FCE
165,13170,aliments infantiles,laits et boissons infantiles,Boisson infantile céréales lactées pour le petit déjeuner dès 12 mois,Dairy cereal-based beverage for baby's breakfast from 12 months,2,0,1.61,79.5,1.51,0.0157,#BB8FCE
166,13163,aliments infantiles,laits et boissons infantiles,Boisson infantile céréales lactées pour le petit déjeuner dès 4/6 mois,Dairy cereal-based beverage for baby's breakfast from 4/6 months,2,0,1.61,79.5,1.51,0.0157,#BB8FCE
